id,surface_name,layer,status
UXB-SURFACE-035,RTRIM,mir_verify_status,MISSING
UXB-SURFACE-035,RTRIM,mir_json_status,MISSING
UXB-SURFACE-035,RTRIM,x64_mir_status,MISSING
UXB-SURFACE-035,RTRIM,x86_status,MISSING
UXB-SURFACE-035,RTRIM,library_binding_status,MISSING
UXB-SURFACE-035,RTRIM,vscode_evidence_status,MISSING
UXB-SURFACE-036,SETSTRINGSIZE,ast_contract_status,MISSING
UXB-SURFACE-036,SETSTRINGSIZE,semantic_status,MISSING
UXB-SURFACE-036,SETSTRINGSIZE,type_binding_status,MISSING
UXB-SURFACE-036,SETSTRINGSIZE,layout_status,MISSING
UXB-SURFACE-036,SETSTRINGSIZE,hir_status,MISSING
UXB-SURFACE-036,SETSTRINGSIZE,mir_verify_status,MISSING
UXB-SURFACE-036,SETSTRINGSIZE,mir_json_status,MISSING
UXB-SURFACE-036,SETSTRINGSIZE,x86_status,MISSING
UXB-SURFACE-036,SETSTRINGSIZE,library_binding_status,MISSING
UXB-SURFACE-036,SETSTRINGSIZE,vscode_evidence_status,MISSING
UXB-SURFACE-037,SGN,ast_contract_status,MISSING
UXB-SURFACE-037,SGN,semantic_status,MISSING
UXB-SURFACE-037,SGN,type_binding_status,MISSING
UXB-SURFACE-037,SGN,layout_status,MISSING
UXB-SURFACE-037,SGN,hir_status,MISSING
UXB-SURFACE-037,SGN,mir_verify_status,MISSING
UXB-SURFACE-037,SGN,mir_json_status,MISSING
UXB-SURFACE-037,SGN,x64_mir_status,MISSING
UXB-SURFACE-037,SGN,x86_status,MISSING
UXB-SURFACE-037,SGN,library_binding_status,MISSING
UXB-SURFACE-037,SGN,vscode_evidence_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,ast_contract_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,type_binding_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,layout_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,hir_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,mir_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,mir_verify_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,mir_json_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,ast_interpreter_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,mir_interpreter_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,x64_ast_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,x64_mir_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,x86_status,MISSING
UXB-SURFACE-038,SIHIRLIMETOT,library_binding_status,MISSING
UXB-SURFACE-039,SIN,hir_status,MISSING
UXB-SURFACE-040,SLOT,ast_contract_status,MISSING
UXB-SURFACE-040,SLOT,type_binding_status,MISSING
UXB-SURFACE-040,SLOT,layout_status,MISSING
UXB-SURFACE-040,SLOT,hir_status,MISSING
UXB-SURFACE-040,SLOT,mir_verify_status,MISSING
UXB-SURFACE-040,SLOT,mir_json_status,MISSING
UXB-SURFACE-040,SLOT,x86_status,MISSING
UXB-SURFACE-041,SPACE,semantic_status,MISSING
UXB-SURFACE-041,SPACE,type_binding_status,MISSING
UXB-SURFACE-041,SPACE,mir_verify_status,MISSING
UXB-SURFACE-041,SPACE,mir_json_status,MISSING
UXB-SURFACE-041,SPACE,x86_status,MISSING
UXB-SURFACE-041,SPACE,library_binding_status,MISSING
UXB-SURFACE-042,SQR,ast_contract_status,MISSING
UXB-SURFACE-042,SQR,semantic_status,MISSING
UXB-SURFACE-042,SQR,type_binding_status,MISSING
UXB-SURFACE-042,SQR,layout_status,MISSING
UXB-SURFACE-042,SQR,hir_status,MISSING
UXB-SURFACE-042,SQR,mir_verify_status,MISSING
UXB-SURFACE-042,SQR,mir_json_status,MISSING
UXB-SURFACE-042,SQR,x64_mir_status,MISSING
UXB-SURFACE-042,SQR,x86_status,MISSING
UXB-SURFACE-042,SQR,library_binding_status,MISSING
UXB-SURFACE-042,SQR,vscode_evidence_status,MISSING
UXB-SURFACE-043,SQRT,ast_contract_status,MISSING
UXB-SURFACE-043,SQRT,semantic_status,MISSING
UXB-SURFACE-043,SQRT,type_binding_status,MISSING
UXB-SURFACE-043,SQRT,layout_status,MISSING
UXB-SURFACE-043,SQRT,hir_status,MISSING
UXB-SURFACE-043,SQRT,mir_status,MISSING
UXB-SURFACE-043,SQRT,mir_verify_status,MISSING
UXB-SURFACE-043,SQRT,mir_json_status,MISSING
UXB-SURFACE-043,SQRT,mir_interpreter_status,MISSING
UXB-SURFACE-043,SQRT,x64_mir_status,MISSING
UXB-SURFACE-043,SQRT,x86_status,MISSING
UXB-SURFACE-043,SQRT,library_binding_status,MISSING
UXB-SURFACE-043,SQRT,vscode_evidence_status,MISSING
UXB-SURFACE-045,STRPTR,ast_contract_status,MISSING
UXB-SURFACE-045,STRPTR,semantic_status,MISSING
UXB-SURFACE-045,STRPTR,type_binding_status,MISSING
UXB-SURFACE-045,STRPTR,layout_status,MISSING
UXB-SURFACE-045,STRPTR,hir_status,MISSING
UXB-SURFACE-045,STRPTR,mir_status,MISSING
UXB-SURFACE-045,STRPTR,mir_verify_status,MISSING
UXB-SURFACE-045,STRPTR,mir_json_status,MISSING
UXB-SURFACE-045,STRPTR,x64_ast_status,MISSING
UXB-SURFACE-045,STRPTR,x64_mir_status,MISSING
UXB-SURFACE-045,STRPTR,x86_status,MISSING
UXB-SURFACE-045,STRPTR,library_binding_status,MISSING
UXB-SURFACE-045,STRPTR,vscode_evidence_status,MISSING
UXB-SURFACE-046,TAN,ast_contract_status,MISSING
UXB-SURFACE-046,TAN,type_binding_status,MISSING
UXB-SURFACE-046,TAN,hir_status,MISSING
UXB-SURFACE-046,TAN,mir_verify_status,MISSING
UXB-SURFACE-046,TAN,mir_json_status,MISSING
UXB-SURFACE-046,TAN,x64_mir_status,MISSING
UXB-SURFACE-046,TAN,x86_status,MISSING
UXB-SURFACE-047,THREAD,ast_contract_status,MISSING
UXB-SURFACE-047,THREAD,type_binding_status,MISSING
UXB-SURFACE-047,THREAD,layout_status,MISSING
UXB-SURFACE-047,THREAD,mir_verify_status,MISSING
UXB-SURFACE-047,THREAD,mir_json_status,MISSING
UXB-SURFACE-047,THREAD,x64_mir_status,MISSING
UXB-SURFACE-047,THREAD,x86_status,MISSING
UXB-SURFACE-048,THREAT,parser_status,MISSING
UXB-SURFACE-048,THREAT,ast_contract_status,MISSING
UXB-SURFACE-048,THREAT,semantic_status,MISSING
UXB-SURFACE-048,THREAT,type_binding_status,MISSING
UXB-SURFACE-048,THREAT,layout_status,MISSING
UXB-SURFACE-048,THREAT,hir_status,MISSING
UXB-SURFACE-048,THREAT,mir_status,MISSING
UXB-SURFACE-048,THREAT,mir_verify_status,MISSING
UXB-SURFACE-048,THREAT,mir_json_status,MISSING
UXB-SURFACE-048,THREAT,ast_interpreter_status,MISSING
UXB-SURFACE-048,THREAT,mir_interpreter_status,MISSING
UXB-SURFACE-048,THREAT,x64_ast_status,MISSING
UXB-SURFACE-048,THREAT,x64_mir_status,MISSING
UXB-SURFACE-048,THREAT,x86_status,MISSING
UXB-SURFACE-048,THREAT,library_binding_status,MISSING
UXB-SURFACE-048,THREAT,vscode_evidence_status,MISSING
UXB-SURFACE-048,THREAT,test_status,MISSING
UXB-SURFACE-049,TIMER,ast_contract_status,MISSING
UXB-SURFACE-049,TIMER,semantic_status,MISSING
UXB-SURFACE-049,TIMER,type_binding_status,MISSING
UXB-SURFACE-049,TIMER,layout_status,MISSING
UXB-SURFACE-049,TIMER,hir_status,MISSING
UXB-SURFACE-049,TIMER,mir_verify_status,MISSING
UXB-SURFACE-049,TIMER,mir_json_status,MISSING
UXB-SURFACE-049,TIMER,x64_mir_status,MISSING
UXB-SURFACE-049,TIMER,x86_status,MISSING
UXB-SURFACE-049,TIMER,library_binding_status,MISSING
UXB-SURFACE-049,TIMER,vscode_evidence_status,MISSING
UXB-SURFACE-050,TRIGGER,ast_contract_status,MISSING
UXB-SURFACE-050,TRIGGER,type_binding_status,MISSING
UXB-SURFACE-050,TRIGGER,layout_status,MISSING
UXB-SURFACE-050,TRIGGER,hir_status,MISSING
UXB-SURFACE-050,TRIGGER,mir_status,MISSING
UXB-SURFACE-050,TRIGGER,mir_verify_status,MISSING
UXB-SURFACE-050,TRIGGER,mir_json_status,MISSING
UXB-SURFACE-050,TRIGGER,x64_mir_status,MISSING
UXB-SURFACE-050,TRIGGER,x86_status,MISSING
UXB-SURFACE-050,TRIGGER,library_binding_status,MISSING
UXB-SURFACE-051,UCASE,library_binding_status,MISSING
UXB-SURFACE-051,UCASE,vscode_evidence_status,MISSING
UXB-SURFACE-053,VIRTUAL,type_binding_status,MISSING
UXB-SURFACE-053,VIRTUAL,layout_status,MISSING
UXB-SURFACE-053,VIRTUAL,hir_status,MISSING
UXB-SURFACE-053,VIRTUAL,mir_status,MISSING
UXB-SURFACE-053,VIRTUAL,mir_verify_status,MISSING
UXB-SURFACE-053,VIRTUAL,mir_json_status,MISSING
UXB-SURFACE-053,VIRTUAL,mir_interpreter_status,MISSING
UXB-SURFACE-053,VIRTUAL,x86_status,MISSING
UXB-SURFACE-053,VIRTUAL,library_binding_status,MISSING
UXB-SURFACE-054,ARRAY,ast_contract_status,MISSING
UXB-SURFACE-054,ARRAY,semantic_status,MISSING
UXB-SURFACE-054,ARRAY,x86_status,MISSING
UXB-SURFACE-054,ARRAY,library_binding_status,MISSING
UXB-SURFACE-055,DICT,ast_contract_status,MISSING
UXB-SURFACE-055,DICT,semantic_status,MISSING
UXB-SURFACE-055,DICT,mir_status,MISSING
UXB-SURFACE-055,DICT,mir_verify_status,MISSING
