category,item,js_policy,wasm_policy,handler,reason,source_parser,source_mir,source_x64_mir,source_runtime,source_tests
builtin_functions,MIRX64CONDITIONCODE,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,MIRX64EMITBUILTINONEARGRESULT,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,missing,missing
builtin_functions,MIRX64EMITCALLINSTRUCTION,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,MIRX64EMITFUNCTION,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,MIRX64EMITINPUTCALL,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,MIRX64EMITINSTRUCTION,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,MIRX64EMITPRINTVALUE,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,MIRX64EMITTERAVAILABLE,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,diagnostic_only,missing,missing
builtin_functions,MIRX64FIELDKEY,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,missing,missing
builtin_functions,MIRX64ISFLOATLITERAL,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,missing,missing
builtin_functions,MIRX64KEYWORDCOUNTERPARTSTATUS,diagnostic_surface_entry,diagnostic_surface_entry,ux.diag,matrix_missing_or_doc_entry,missing,missing,missing,missing,missing
